Feature ID,Area,Reference feature,Reference source location,Reference entry point,Rust status,Rust source location,Rust production entry point,Unit tested,Integration tested,End-to-end tested,Behaviorally compatible,Error compatible,Cross-platform verified,Security reviewed,Evidence,Gap,Severity,Release blocker,Recommended action
F071,Server,v2 /api route tree,packages/protocol/src/groups/*,api.ts,IMPLEMENTED_CONNECTED,oc-server/src/router.rs:291-379,router::build() wire_v2,Yes,Yes,Yes,Partial,No,No,No,TEST+SMOKE: route-table golden and live API suites pass,Some handler behavior remains partial,High,Yes,Finish handler parity
F072,Server,SSE /event stream,opencode/src/server/routes/instance/httpapi/handlers/event.ts,event.ts,IMPLEMENTED_CONNECTED,oc-server/src/sse.rs; handlers/event.rs,event_subscribe(),Yes,Yes,Yes,Partial,No,No,No,RUNTIME+SMOKE: v1/v2 connected/status/text/assistant/idle frames stream from server; per-session `/api/session/:sessionID/event?after=` replays durable cursor events and filters live session events,Global `/event` replay/filter semantics and full differential coverage remain,High,Yes,Add differential SSE tests
F073,Server,Basic auth password,opencode/src/server/auth.ts,auth.ts,IMPLEMENTED_CONNECTED,oc-server/src/auth.rs; oc-cli/src/cli/cmd/serve.rs,AuthConfig,Yes,Yes,Yes,Partial,No,Yes,RUNTIME+TEST: executable auth config and API credential checks are wired,Reference auth edge cases remain,Medium,No,Add live auth differential tests,
F074,Server,CORS handling,packages/server/src/cors.ts,cors.ts,IMPLEMENTED_CONNECTED,oc-server/src/cors.rs; oc-cli/src/cli/cmd/serve.rs,CorsOptions,Yes,Yes,Yes,Partial,No,Yes,RUNTIME+TEST: executable CORS options and preflight behavior are wired,Reference origin edge cases remain,Medium,No,Add live CORS differential tests,
F075,Server,OpenAPI /doc + /openapi.json,opencode/src/server/server.ts openapi,server.ts,IMPLEMENTED_CONNECTED,oc-server/src/openapi.rs; instance_handlers.rs openapi_doc,production /doc and /openapi.json routes,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: production router serves the generated OpenAPI document at both /doc and /openapi.json; doc_serves_openapi passes,Minimal document lacks reference x-codeSamples and complete schemas,Low,No,Add schema/code-sample parity
F076,Server,Session CRUD handlers,opencode/src/server/routes/instance/httpapi/handlers/session.ts,session.ts,IMPLEMENTED_CONNECTED,oc-server/src/instance_handlers.rs:217-330; oc-server/src/state.rs,production session_list/get/create/update/delete,Yes,Yes,Yes,Partial,No,No,No,RUNTIME+TEST: production CRUD handlers persist through shared SQLite, hydrate sessions on state reload, and pass durable_session_and_message_survive_state_reload,Response/filter/schema edge parity remains,High
F077,Server,Prompt handler (LLM loop),opencode/src/server/routes/instance/httpapi/handlers/session.ts prompt,session.ts prompt(),IMPLEMENTED_CONNECTED,oc-server/src/instance_handlers.rs:726-773; oc-server/src/handlers/session.rs; oc-server/src/runner.rs,session_prompt(),Yes,Yes,Yes,Partial,Partial,No,No,RUNTIME+TEST: admits v1/v2 prompts, preserves attachments into runner history, publishes prompted/admitted delivery events, schedules production runner with provider/tool/SSE projection, consumes live provider events incrementally
F078,Server,Config GET/PATCH endpoint,opencode/src/server/routes/instance/httpapi/handlers/config.ts,config.ts,IMPLEMENTED_CONNECTED,oc-server/src/instance_handlers.rs:25-101; oc-server/src/server.rs; oc-plugin/src/jsonc.rs,config_get/update,Yes,Yes,Partial,Partial,No,No,No,"RUNTIME+TEST: production config is resolved at bootstrap; project/global PATCH writes JSONC with root and nested object leaf updates preserving comments/trailing commas, additive/replacement-only patches emit config.updated, and deletion paths retain canonical fallback semantics","Deletion-aware/general JSONC patch edge cases, live reload, and full differential parity remain",High,Yes,Complete config patch/watch parity
F079,Server,Provider/model endpoints,opencode/src/server/routes/instance/httpapi/handlers/provider.ts,provider.ts,IMPLEMENTED_CONNECTED,oc-server/src/instance_handlers.rs; oc-server/src/handlers/provider.rs; oc-server/src/handlers/model.rs; oc-server/tests/provider_models.rs,provider_list/provider_get/model_list,Yes,Yes,Partial,Partial,No,No,No,"RUNTIME+TEST: v1/v2 endpoints build typed models.dev + config + env + auth catalogs, redact credential keys, report connected IDs and default models; 3 focused API tests pass (provider_and_model_catalogs, legacy_provider_list, custom_provider_config); runtime refresh and plugin discovery remain partial; revalidated 2026-08-18", merge config-defined providers/models, redact provider credential keys, legacy /provider now reports active connected IDs and a non-deprecated default model per provider, and focused custom-provider/catalog coverage passes
F080,Server,Tool endpoints /experimental/tool,opencode/src/server/routes/instance/httpapi/handlers/experimental.ts,experimental.ts,IMPLEMENTED_CONNECTED,oc-server/src/instance_handlers.rs:1986-2020,experimental_tool(),Yes,Yes,Yes,Partial,No,No,No,RUNTIME+TEST: returns built-in definitions and ids with name filtering,Full provider/MCP tool inventory is not exposed yet,High,No,Extend with dynamic registrations
F081,Server,PTY endpoints,opencode/src/server/routes/instance/httpapi/handlers/pty.ts,pty.ts,PARTIAL,oc-server/src/instance_handlers.rs; handlers/pty.rs,pty_list/create,Yes,Yes,Partial,Partial,No,No,Partial,RUNTIME+TEST: Unix now allocates a real master/slave PTY with controlling-terminal setup, master replay/input capture, one-time connect tickets, exit state, ioctl resize
F082,Server,TUI control endpoints,opencode/src/server/routes/instance/httpapi/handlers/tui.ts,tui.ts,IMPLEMENTED_CONNECTED,oc-server/src/router.rs:259-271; oc-server/src/shared.rs:130-214; oc-tui/src/app.rs; oc-tui/src/client.rs,tui_* handlers + tui_control queues,Yes,Yes,Partial,Partial,No,No,No,"RUNTIME+TEST: POST handlers publish real path/body requests, control/next long-polls and response posts into live process-local queues; tui_control_routes_deliver_requests_and_responses test passes through the production router; response correlation and broader remote-control semantics remain; revalidated 2026-08-18", control/next long-polls and response posts into live process-local queues; oc-tui now polls `/tui/control/next`, executes open/dialog/prompt/command/toast/session actions, and acknowledges responses; focused queue round-trip and TUI consumer tests pass,Reference response correlation and broader remote-control semantics remain incomplete
F083,Server,WebSocket support,opencode/src/server/server.ts WebSocketTracker,server.ts,IMPLEMENTED_CONNECTED,oc-server/src/handlers/pty.rs; oc-server/src/router.rs,pty_connect,Yes,Yes,Partial,Partial,No,No,Partial,"RUNTIME+TEST: authenticated PTY WebSocket upgrade, one-time tickets, binary replay, and stdin/output streaming are wired through the production router; pty_create_runs_command_and_captures_output passes; general WebSocket tracker parity remains; revalidated 2026-08-18", one-time tickets, binary replay, and stdin/output streaming are wired,General proxy/WebSocket tracker parity remains
F084,Server,mDNS service advertisement,opencode/src/server/mdns.ts,mdns.ts,IMPLEMENTED_CONNECTED,oc-server/src/mdns.rs; oc-server/src/server.rs,mdns publish() during listener bootstrap,Yes,No,No,Partial,Partial,Partial,Partial,"RUNTIME+TEST: optional mDNS feature publishes _http._tcp DNS-SD records with path=/, responds to browse queries, sends goodbye packets on listener stop, and is wired into server lifecycle; focused responder tests pass (normalize_names, answers_browse, ignores_unrelated); multicast/IPv6/collision handling remain; revalidated 2026-08-18", responds to browse queries, sends goodbye packets on listener stop, and is wired into server lifecycle; focused responder tests pass with socket permissions,Multicast behavior
F085,Session,Session store (DB-backed CRUD),opencode/src/session/session.ts; project/project.ts,session.ts Service,IMPLEMENTED_CONNECTED,oc-session/src/service.rs; oc-session/src/store.rs; oc-server/src/state.rs; oc-server/src/instance_handlers.rs,SessionService,Yes,Yes,Yes,Partial,No,No,No,"RUNTIME+TEST: server projection and CLI CRUD persist through SQLite; create/list/get/update/delete/fork operations all wired through production handlers; 5 focused API tests pass (create_session, session_list_cursor, fork_persists, durable_session_survive_reload, title_mutation_survive_reload); write-through mutations and full oc-session service parity remain; revalidated 2026-08-18",Full oc-session service parity, write-through mutations, and all session fields remain,High
F086,Session,Message/part store,core/src/database schema (message/part),session.ts,IMPLEMENTED_CONNECTED,oc-database/src/tables.rs; oc-server/src/state.rs,message store,Yes,Yes,Yes,Partial,No,No,No,RUNTIME+TEST: messages and parts persist, hydrate, delete, and project to SSE,Reference part variants and snapshot semantics remain
F087,Session,LLM session runner loop,core/src/session/runner/llm.ts,llm.ts,IMPLEMENTED_CONNECTED,oc-session-runner/src/runner/llm.rs:92-820; oc-server/src/runner.rs,SessionRunnerService::run,Yes,Yes,Yes,Partial,Partial,No,No,RUNTIME+TEST: production server supplies store/history/model/provider/tool/event dependencies and receives a boxed live event stream for incremental publication; configured agent/model precedence and durable steer/queue admission/promotion connected with focused regressions; fact: prompt->SSE->runner->provider flow verified over HTTP API; revalidated 2026-08-18; full service/provider parity and true mid-stream interruption semantics remain,Critical,Yes,Finish runner services,
F088,Session,Streaming part generation (text/reasoning/tool),core/src/session/llm.ts stream,llm.ts,IMPLEMENTED_CONNECTED,oc-llm/src/llm.rs:62-233; oc-session-runner/src/runner/llm.rs; oc-server/src/runner.rs,request()/generate_object(),Yes,Yes,Yes,Partial,Partial,No,No,RUNTIME+SMOKE+TEST: text/reasoning/tool projection persists reasoning and streamed tool input/progress/retry/failure parts; continuation, retry/backoff, and prompt file/agent attachment lowering are live; focused runner projection test passes; fact: prompt->SSE->runner->provider flow verified over HTTP API; revalidated 2026-08-18 parts with assistant partial-error content; continuation, retry/backoff, and prompt file/agent attachment lowering are live; focused runner projection test passes
F089,Session,Usage/token tracking,core/src/session/usage,session.ts,IMPLEMENTED_CONNECTED,"oc-session/src/session.rs:94-104,230-350; oc-server/src/runner.rs:466-560,758-813; oc-cli/src/cli/cmd/stats.rs:285-390",get_usage(); runner persistence; stats aggregation,Yes,Yes,No,Partial,No,No,No,"RUNTIME+TEST: runner preserves StepEnded cost/tokens in durable assistant/session records and emits session.usage.updated; usage honors explicit nonCachedInputTokens and recursively resolves provider cache-write metadata; catalog and configured model prices/limits now calculate live step cost and compaction metadata, with focused regressions; revalidated 2026-08-18","Standalone get_usage/API parity, reference aggregation dimensions, and full provider differential coverage remain incomplete",Medium,No,Complete usage API and accounting parity
F090,Session,Auto-compaction,core/src/config/compaction.ts,session.ts,PARTIAL,oc-server/src/runner.rs:105-107; oc-server/src/runner.rs:2170-2248; oc-session/src/compaction.rs:170-317,ServerCompaction,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: automatic/overflow checkpoints persist durable summaries consumed by runner history; `compaction.auto=false` disables automatic checkpoints, manual/auto checkpoints honor `tail_turns` plus `preserve_recent_tokens`, provider summaries consume bounded structured transcript details, known catalog models use context/input/output token limits with a conservative fallback for unknown models, successful compaction emits the v1.18.13 `session.compacted` event
F091,Session,Revert/unrevert,opencode/src/server/routes/instance/httpapi/handlers/session.ts revert,session.ts,IMPLEMENTED_CONNECTED,oc-server/src/instance_handlers.rs:922-1014; oc-server/src/handlers/session.rs; oc-server/tests/api.rs,session_revert(),Yes,Yes,Partial,Partial,No,No,No,"RUNTIME+TEST: v1/v2 stage/clear/commit persist revert metadata, runner history excludes staged boundary, and v2 commit restores a git snapshot; v2_revert_commit_restores_project_snapshot and v1_revert_stage_and_clear tests pass; exact event sequencing and broader session lineage parity remain; revalidated 2026-08-18", runner history excludes the staged boundary, and v2 commit restores a git snapshot,Exact event sequencing and broader session lineage parity remain,Medium
F092,Session,Session fork,opencode/src/session/session.ts fork,session.ts,IMPLEMENTED_CONNECTED,oc-server/src/instance_handlers.rs:1394-1445; oc-server/src/handlers/session.rs:366-427; oc-server/tests/api.rs:990-1070,session_fork(),Yes,Yes,Partial,Partial,No,No,No,"RUNTIME+TEST: fork routes clone history up to an optional message boundary, assign parent ID/new message IDs, persist child session/messages, and survive durable reload; session_fork_persists_child_history_without_moving_parent_messages passes; full lineage/event/provider parity remain; revalidated 2026-08-18", assign a parent ID/new message IDs, persist the child session/messages, and survive durable reload,Full lineage/event/provider parity and native TUI fork UX remain
F093,Session,Session share (share.opencode.ai),opencode/src/share/session.ts; share-next.ts,share.ts,IMPLEMENTED_CONNECTED,oc-server/src/instance_handlers.rs:949-1152; oc-server/tests/api.rs,session_share(),Yes,Yes,Partial,Partial,No,No,No,"RUNTIME+TEST: POST create, background full sync, DELETE unshare, configurable enterprise URL, and durable session_share persistence match the reference protocol; session_share_and_unshare_follow_remote_protocol_and_persist_durably passes with mock server; auth/token refresh and production remote-service differential coverage remain; revalidated 2026-08-18", background full sync, DELETE unshare, configurable enterprise URL, and durable session_share persistence match the reference protocol
F094,Session,Summarize,opencode/src/server/routes/instance/httpapi/handlers/session.ts summarize,session.ts,IMPLEMENTED_CONNECTED,oc-server/src/instance_handlers.rs:1867-1935; oc-server/src/runner.rs:905-1010,session_summarize(),Yes,Yes,Partial,Partial,No,No,No,"RUNTIME+TEST: explicit summarize requests and automatic/overflow compaction call the configured/session provider through the live event stream, extract streamed text, persist durable checkpoints; compact_endpoint_persists_runner_checkpoint passes; exact reference event sequencing and differential summary fixtures remain; revalidated 2026-08-18", extract streamed text, preserve structured transcript details, and persist durable checkpoints; no-model/provider-failure callers retain deterministic fallback and configured recent-tail budgets; focused compaction regressions pass,Exact reference event sequencing and differential summary fixtures remain
F095,Session,Abort/interrupt,opencode/src/server/routes/instance/httpapi/handlers/session.ts abort,session.ts,IMPLEMENTED_CONNECTED,oc-server/src/instance_handlers.rs:443-460; oc-server/src/handlers/session.rs:663-684,session_abort/session_interrupt,Yes,Yes,Partial,Partial,No,No,No,"RUNTIME+TEST: v1 abort and v2 interrupt mark sessions idle, cancel the active runner token, and publish terminal idle status consumed by clients; session_interrupt_emits_idle_status_after_cancelling_run passes; exact provider cancellation/error event parity remains; revalidated 2026-08-18", cancel the active runner token, and publish the terminal idle status consumed by clients; focused API coverage verifies the v2 interrupt event,Exact provider cancellation/error event parity remains,Medium
F096,Session,Retry (message/part),opencode/src/session/retry.ts,session.ts,IMPLEMENTED_CONNECTED,oc-session-runner/src/runner/llm.rs:188-236; oc-server/src/runner.rs:581-638,SessionRunnerService::run_turn(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: retryable rate-limit/provider-internal failures emit bounded cancellation-aware backoff with response metadata; persist/emit retry parts; preserve v1 retry status; and project reference-compatible v2 session.retry.scheduled events; focused server projection coverage passes; revalidated 2026-08-18,Full persisted retry/message-part parity and provider-specific policy differential coverage remain,Medium,No,Complete retry differential parity
F097,Provider,models.dev catalog + cache,core/src/models-dev.ts,models-dev.ts,IMPLEMENTED_CONNECTED,oc-cli/src/cli/models_dev.rs,ModelsDev::load/refresh,Yes,No,Yes,Partial,No,No,No,RUNTIME: models --refresh fetches; models list works,Cache format/timestamp semantics unverified vs reference,Medium,No,Golden-test cache file
F098,Provider,Provider registry/transforms,opencode/src/provider/transform.ts,provider.ts,PARTIAL,oc-provider/src/provider/registry.rs; oc-server/src/handlers/provider.rs; oc-plugin/src/jsonc.rs,build_registry/ProviderTransform,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: registry/transforms are used by provider endpoints with env/auth/config inputs; explicit custom baseURL/apiKey providers reach the OpenAI-compatible runner path; nested provider JSONC updates preserve comments/trailing commas when no deletion is requested,"Config/plugin loaders, OAuth, deletion-aware config write-back, and full provider-selection parity remain",Medium,No,Complete provider-selection parity
F099,Provider,Credential store auth.json,opencode/src/auth/index.ts:10,auth.ts,IMPLEMENTED_CONNECTED,oc-cli/src/cli/auth.rs:12-123; oc-provider/src/auth/mod.rs; oc-server/src/handlers/provider.rs,Auth::all/set/remove + server registry,Yes,Yes,Partial,Yes,No,No,Yes,RUNTIME+TEST: CLI and server share the 0600 auth.json store; provider registry consumes saved credentials and `/auth/:providerID` persists/removes them,OAuth refresh and plugin auth flows remain,Medium,No,Add OAuth store
F100,Provider,Provider error parsing,opencode/src/provider/error.ts,provider.ts,IMPLEMENTED_CONNECTED,oc-provider/src/provider/error.rs; oc-llm/src/provider_error.rs; oc-llm/src/route/executor.rs; oc-server/src/runner.rs,parse_api_call_error; oc-llm status_error,Yes,Yes,No,Partial,No,No,No,"RUNTIME+TEST: oc-provider and oc-llm now share context-overflow, quota, retry-status, provider-specific retry, and redaction classifiers; the server runner preserves structured status; focused status_error/bridge/protocol tests pass; revalidated 2026-08-18",Full provider-matrix and reference-differential parse coverage remain,Medium,No,Add provider-matrix differential fixtures
F101,LLM,Wire protocols (Anthropic/OpenAI/Gemini/Bedrock),packages/llm/src/providers/*,llm.ts,PARTIAL,oc-llm/src/providers/*.rs; protocols/*.rs; oc-server/src/runner.rs:803-899,llm::request() via ServerLlm,Yes,No,No,Partial,No,No,No,RUNTIME+TEST: production ServerLlm converts session requests and exposes a boxed live event stream from oc-llm; Anthropic now adds the v1.18.13 interleaved-thinking/fine-grained-tool-streaming beta header with request override support; Azure, Cloudflare AI Gateway/Workers AI, GitHub Copilot, and Bedrock facades resolve through the live server model selector; Bedrock signs requests with deterministic SigV4 canonical headers/path/query/session-token handling and focused resolver/SigV4 tests pass,No live provider matrix smoke test; provider-specific behavioral/error parity remains incomplete
F102,Provider,OAuth plugin auth methods,opencode/src/auth/index.ts oauth,auth.ts,PARTIAL,oc-provider/src/provider/auth.rs; oc-provider/src/auth/login.rs; oc-server/src/state.rs; oc-server/src/handlers/provider.rs; oc-server/src/handlers/integration.rs; oc-server/src/plugin_auth.rs; oc-server/src/builtin_auth.rs; oc-server/src/runner.rs,ProviderAuth/plugin auth,Yes,Yes,No,Partial,Partial,No,Partial,RUNTIME+TEST+CHECK: host-owned OAuth hooks are exposed through /provider/auth and authorize/callback persist credentials; production bootstrap adapts loaded QuickJS plugin auth summaries into typed AuthHook instances; native OpenAI/xAI browser/headless OAuth, GitHub Copilot public/enterprise device OAuth, refresh, manual API-key storage, Codex/Copilot endpoint selection
F103,Provider,Well-known device login,opencode/src/cli/cmd/providers.ts login,providers.ts,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/providers.rs:275-329,login_wellknown(),No,No,No,Partial,No,No,No,"STATIC: fetches /.well-known/opencode, runs auth.command, stores token",Untested at runtime,Low,No,-
F104,Tool,tool/bash,core/src/tool/bash.ts:204; opencode/src/tool/bash.ts,bash.ts,IMPLEMENTED_CONNECTED,oc-tool/src/core/bash.rs; oc-server/src/runner.rs,server runner tool registry,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: core bash is materialized, permission-gated, and settled through the production session runner,Shell policy and exact process parity remain,High
F105,Tool,tool/read,core/src/tool/read.ts:114,read.ts,IMPLEMENTED_CONNECTED,oc-tool/src/core/read.rs; oc-server/src/runner.rs,server runner tool registry,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: core read is materialized and settled through the production session runner,Large-file and encoding edge parity remain,High,No,Add runner tool execution golden test
F106,Tool,tool/edit (all replacers),"opencode/src/tool/edit.ts:58,220",edit.ts,IMPLEMENTED_CONNECTED,oc-tool/src/core/edit.rs; oc-server/src/runner.rs,server runner tool registry,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: core edit replacers are materialized and permission-gated through the production session runner,Exact replacer/error edge parity remains,High,No,Add runner tool execution golden test
F107,Tool,tool/write,core/src/tool/write.ts:98,write.ts,IMPLEMENTED_CONNECTED,oc-tool/src/core/write.rs; oc-server/src/runner.rs,server runner tool registry,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: core write is materialized and permission-gated through the production session runner,File mode/encoding edge parity remains,High,No,Add runner tool execution golden test
F108,Tool,tool/glob,core/src/tool/glob.ts:102,glob.ts,IMPLEMENTED_CONNECTED,oc-tool/src/core/glob_grep.rs; oc-server/src/runner.rs,server runner tool registry,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: core glob is materialized and settled through the production session runner,Ignore/ranking edge parity remains,High,No,Add runner tool execution golden test
F109,Tool,tool/grep (ripgrep),core/src/tool/grep.ts:134,grep.ts,IMPLEMENTED_CONNECTED,oc-tool/src/core/glob_grep.rs; oc-server/src/runner.rs,server runner tool registry,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: core grep/ripgrep is materialized and settled through the production session runner,Output/ranking edge parity remains,High,No,Add runner tool execution golden test
F110,Tool,tool/webfetch,core/src/tool/webfetch.ts:184,webfetch.ts,IMPLEMENTED_CONNECTED,oc-tool/src/core/misc.rs; oc-server/src/runner.rs,server runner tool registry,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: webfetch is materialized in the production runner and admitted by the server tool policy,Network/cache edge parity remains,High,No,Add network fixture
F111,Tool,tool/websearch,opencode/src/tool/websearch.ts:257,websearch.ts,IMPLEMENTED_CONNECTED,oc-tool/src/core/misc.rs; oc-server/src/runner.rs,server runner tool registry,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: websearch is materialized in the production runner and admitted by the server tool policy,Provider/auth/search ranking edge parity remains,High,No,Add provider fixture
F112,Tool,tool/task,opencode/src/tool/task.ts:81,task.ts,PARTIAL,oc-tool/src/tool/task.rs; oc-tool/src/core/task.rs; oc-server/src/runner.rs,task tool,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: foreground task execution creates a durable parented child session, resume reuses the child ID, opt-in background execution returns a running result, and the tool layer now supports callback-driven child results, depth checks
F113,Tool,tool/todowrite,core/src/tool/todowrite.ts:59,todowrite.ts,IMPLEMENTED_CONNECTED,oc-tool/src/tool/todo.rs; oc-server/src/runner.rs:1340-1355,todowrite,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: runner registers todowrite, updates per-session store, and v1 todo reads return the live state,full event/schema persistence and TUI parity remain,High
F114,Tool,tool/lsp,opencode/src/tool/lsp.ts:37,lsp.ts,PARTIAL,oc-tool/src/core/lsp.rs; oc-project/src/lsp.rs; oc-server/src/runner.rs:1340-1390,production core lsp tool + server_lsp_executor,Yes,Yes,No,Partial,No,No,No,RUNTIME+TEST: opt-in/configured LSP tool resolves commands by file extension, starts a real JSON-RPC process adapter, enforces workspace containment, supports all declared operation names including prepare/incoming/outgoing call hierarchy, synchronizes queried files with didOpen/full-text didChange
F115,Tool,tool/skill,core/src/tool/skill.ts:106,skill.ts,IMPLEMENTED_CONNECTED,oc-tool/src/core/misc.rs; oc-server/src/runner.rs,skill tool,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: core skill is materialized and runner-connected; it loads project/global SKILL.md files with path validation,Full system-context catalog/injection and resource loading remain,High,Yes,Complete skill catalog parity
F116,Tool,tool/plan (plan_enter/plan_exit),opencode/src/tool/plan.ts:15,plan.ts,PARTIAL,oc-tool/src/core/plan.rs; oc-server/src/runner.rs:1280-1605,plan_exit through ServerToolSettle,Yes,Yes,No,Partial,No,No,No,RUNTIME+TEST: opt-in plan_exit is materialized by the production runner, routes approval through the question service, persists the session agent switch to build, emits session.updated, and passes focused tests
F117,Tool,apply-patch tool + patch system,core/src/tool/apply-patch.ts:200; opencode/src/patch,patch.ts,IMPLEMENTED_CONNECTED,oc-tool/src/patch.rs; oc-tool/src/core/misc.rs; oc-server/src/runner.rs,apply_patch,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: core apply_patch is permission-aware, materialized, settled, and verified through the production server runner,Move/rollback and exact patch edge parity remain
F118,Tool,tool/question,core/src/tool/question.ts:91,question.ts,IMPLEMENTED_CONNECTED,oc-tool/src/tool/question.rs; oc-server/src/runner.rs:1270-1330,question tool,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: runner suspends on QuestionService, exposes pending state, emits asked/replied events, and v1/v2 replies resolve it,exact v2 event/schema and UI interaction parity remain
F119,Tool,Permission engine (allow/deny/ask rules),opencode/src/permission/*; core/src/permission,permission.ts,PARTIAL,oc-tool/src/truncate.rs; oc-session/src/permission.rs; oc-server/src/runner.rs; oc-server/src/handlers/permission.rs; oc-database/src/tables.rs,permission_gate(),Yes,Yes,Yes,Partial,No,Yes,RUNTIME+TEST: wildcard evaluation plus global/agent configured allow-deny-ask rules gate external-directory/edit/bash/task/read-family and MCP tool decisions; v2 session permission creation now evaluates the same configured global/agent rules,"RUNTIME+TEST: wildcard evaluation plus global/agent configured allow-deny-ask rules gate external-directory/edit/bash/task/read-family and MCP tool decisions; v2 session permission creation preserves deny/ask/allow effects, stores only pending asks, and list/get/reply routes enforce session ownership; always-allow decisions persist through the existing SQLite permission table and reload; rejecting one live ask cascades to same-session pending asks with legacy/v2 reply events",Every tool family and exact reference ask/precedence semantics remain,High,No,-
F120,Tool,Tool registry materialization,core/src/tool/registry.ts:106,registry.ts,IMPLEMENTED_CONNECTED,oc-tool/src/core/registry.rs:141; oc-server/src/runner.rs:969-1010,CoreToolRegistry::materialize,Yes,Yes,Yes,Partial,No,Yes,RUNTIME+TEST: runner and experimental tool endpoints materialize built-ins plus configured MCP and plugin tools,Plugin skills/host registrations and live dynamic reload remain,High,Yes,Add dynamic registry layers,
F121,MCP,MCP client (stdio/SSE/HTTP transports),opencode/src/mcp/index.ts; client,mcp.ts,PARTIAL,"oc-mcp/src/client.rs:60-360; oc-mcp/src/catalog.rs; oc-mcp/src/transport/http.rs; oc-mcp/src/transport/mod.rs; oc-mcp/src/transport/sse.rs; oc-server/src/instance_handlers.rs:1145-1220,1797-1985,2962-3200; oc-server/src/handlers/command.rs; oc-server/src/runner.rs:1160-1265,1932-2148",McpClient::connect,Yes,Yes,Partial,Partial,No,No,No,"RUNTIME+TEST: startup/endpoint connection retains clients, pages tools and prompts, exposes MCP prompts as lazy slash commands with sanitized client:prompt names and $1/$2 argument mapping, registers dynamic runner definitions, executes tools through tools/call, exposes permission-gated resource list/template/read runner tools, request timeout/explicit cancellation now removes pending waiters and emits `notifications/cancelled` with request ID/reason, streamable HTTP replays initialize/initialized once after session-expiry 404 before retrying, legacy/HTTP SSE parsing now consumes CRLF boundaries correctly, tracks SSE event IDs and sends Last-Event-ID on HTTP/SSE reconnects, open POST text/event-stream responses are consumed in the background so the first JSON-RPC response is delivered without waiting for EOF, accepts POST-only streamable HTTP servers when optional GET returns 405, and production watchers refresh `notifications/tools/list_changed`, evict stale clients/tools on close with pointer-identity replacement guards, and emit `mcp.tools.changed`; full replay/backpressure, OAuth/pooling, and full MCP permission/lifecycle mediation remain","Full replay/backpressure, OAuth/pooling, and full MCP permission/lifecycle mediation remain",High,Yes,Complete MCP auth and lifecycle parity
F122,MCP,MCP server registration in config,opencode/src/mcp/index.ts add,mcp.ts,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/mcp.rs:28-126; oc-server/src/instance_handlers.rs:1606-1675,mcp add/list,Yes,Yes,Yes,Partial,No,No,No,RUNTIME+TEST: JSONC project config add/list and server inventory are wired,Interactive add/auth/logout/debug parity remains,Medium,No,Finish interactive/auth subcommands
F123,MCP,MCP OAuth (dynamic client registration),opencode/src/mcp/oauth.ts,mcp.ts,PARTIAL,oc-mcp/src/oauth.rs; oauth_provider.rs; oc-mcp/src/index.rs; oc-server/src/state.rs; oc-server/src/instance_handlers.rs,OAuth,No,Yes,No,Partial,Partial,No,Partial,RUNTIME+TEST: real MCP start/callback/authenticate/remove lifecycle is wired through the server with dynamic registration/provider state; registration requests advertise JSON and reject missing client IDs, and HTTP OAuth integration/API error tests pass,Full browser UX, cross-process callback lifecycle, and CLI/reference edge parity remain
F124,ACP,ACP bridge (Agent Client Protocol),opencode/src/acp/agent.ts,acp.ts,PARTIAL,oc-acp/src/*.rs (7924 lines); oc-cli/src/cli/cmd/acp.rs:1045-1380,ACP service over stdio backed by embedded HTTP server,Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: ACP service over stdio includes prompt cancellation/stopReason; protocol-version validation; nested auth errors including `{data:{}}` for unknown-provider auth-required errors; additional-directory propagation; upstream wire-field aliases; session-status idle ordering for prompt/command/compaction completion; multi-file filesystem edit transcripts; deterministic provider/filesystem/tool replay transcripts; 57 unit tests; 15 wire-golden tests; and 6 CLI ACP tests,No end-to-end ACP provider differential and full session transcript coverage,High,Yes,Add ACP provider/session differential tests
