Command,Scenario,Reference exit code,Rust exit code,Reference stdout,Rust stdout,Reference stderr,Rust stderr,Equivalent,Difference category,Evidence,Severity,Release blocker
signals,signals,-2,-2,[EMPTY],[EMPTY],[EMPTY],[EMPTY],True,NONE,SIGINT/SIGTERM on debug wait: both killed identically by signal (-2/-15) - equivalent,Informational,no
pty,pty,0,0,[EMPTY],[EMPTY],[EMPTY],[EMPTY],True,OUTPUT_DIFFERENCE,TTY providers login: ref interactive 'Select provider' (opencode only); rust numbered list (180 providers from cache),Medium,no
db-path-format,db-path-format,1,1,[EMPTY],[EMPTY],[EMPTY],[EMPTY],True,STDERR_DIFFERENCE,db path --format json: both exit 1 unknown arg (help vs clap),Low,no
db-path-content,db-path-content,0,0,[60B] /tmp/opencode/agent03/home/.local/share/opencode/opencode.db,[60B] /tmp/opencode/agent03/home/.local/share/opencode/opencode.db,[EMPTY],[EMPTY],True,NONE,"db path: byte-identical DB path stdout, exit 0 both",Informational,no
models-env,models-env,0,0,[EMPTY],[EMPTY],[EMPTY],[EMPTY],True,OUTPUT_DIFFERENCE,OPENCODE_MODELS_PATH set: ref still lists only 8 builtin opencode models (schema rejects api.json); rust lists 180 providers,Medium,no
run,run --help,0,0,[EMPTY],[EMPTY],[3053B] opencode run [message..],[2012B] run opencode with a message,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/core.json,Low,no
serve,serve --help,0,0,[EMPTY],[EMPTY],[1234B] opencode serve,[822B] starts a headless opencode server,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/core.json,Low,no
models,models --help,0,0,[EMPTY],[EMPTY],[885B] opencode models [provider],[593B] list all available models,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/core.json,Low,no
acp,acp --help,0,0,[EMPTY],[EMPTY],[1340B] opencode acp,[880B] start ACP (Agent Client Protocol) server,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/core.json,Low,no
attach,attach --help,0,0,[EMPTY],[EMPTY],[1692B] opencode attach <url>,[1203B] attach to a running opencode server,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/core.json,Low,no
generate,generate --help,0,0,[EMPTY],[EMPTY],[532B] opencode generate,[335B] Usage: opencode generate [OPTIONS],False,OUTPUT_DIFFERENCE,captured artifact 03-cli/core.json,Low,no
console,console --help,0,0,[EMPTY],[EMPTY],[812B] opencode console,[500B] Usage: opencode console [OPTIONS] [COMMAND],False,OUTPUT_DIFFERENCE,captured artifact 03-cli/core.json,Low,no
models,models --verbose,0,0,[8558B] opencode/big-pickle,[4620408B] opencode/big-pickle,[EMPTY],[EMPTY],False,OUTPUT_DIFFERENCE,captured artifact 03-cli/cmd.json,Low,no
providers,providers login --help,0,0,[EMPTY],[EMPTY],[884B] opencode providers login [url],[580B] log in to a provider,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/cmd.json,Low,no
models,models opencode,0,0,[219B] opencode/big-pickle,[2017B] opencode/big-pickle,[EMPTY],[EMPTY],False,OUTPUT_DIFFERENCE,captured artifact 03-cli/models2.json,Low,no
run,run --replay-limit 5,1,1,[EMPTY],[EMPTY],[54B] \e[91m\e[1mError: \e[0m--replay-limit requires --mini,[55B] \e[91m\e[1mError:  \e[0m--replay-limit requires --mini,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/run.json,Low,no
mcp,mcp add --help,0,0,[EMPTY],[EMPTY],[975B] opencode mcp add [name],[630B] add an MCP server,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/cmd2.json,Low,no
upgrade,upgrade --help,0,0,[EMPTY],[EMPTY],[857B] opencode upgrade [target],[591B] upgrade opencode to the latest or a specific version,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/cmd2.json,Low,no
uninstall,uninstall --help,0,0,[EMPTY],[EMPTY],[986B] opencode uninstall,[636B] uninstall opencode and remove all related files,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/cmd2.json,Low,no
web,web --help,0,0,[EMPTY],[EMPTY],[1243B] opencode web,[831B] start opencode server and open web interface,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/cmd2.json,Low,no
debug,debug lsp --help,0,0,[EMPTY],[EMPTY],[784B] opencode debug lsp,[522B] LSP debugging utilities,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/debug.json,Low,no
debug,debug rg --help,0,0,[EMPTY],[EMPTY],[708B] opencode debug rg,[465B] ripgrep debugging utilities,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/debug.json,Low,no
debug,debug file --help,0,0,[EMPTY],[EMPTY],[767B] opencode debug file,[496B] file system debugging utilities,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/debug.json,Low,no
debug,debug snapshot --help,0,0,[EMPTY],[EMPTY],[789B] opencode debug snapshot,[509B] snapshot debugging utilities,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/debug.json,Low,no
debug,debug agent build --help,0,0,[EMPTY],[EMPTY],[893B] opencode debug agent <name>,[536B] show agent configuration details,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/debug.json,Low,no
db,db --help,0,0,[EMPTY],[EMPTY],[920B] opencode db,[539B] database tools,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
export,export --help,0,0,[EMPTY],[EMPTY],[787B] opencode export [sessionID],[495B] export session data as JSON,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
import,import --help,0,0,[EMPTY],[EMPTY],[695B] opencode import <file>,[436B] import session data from JSON file or URL,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
github,github --help,0,0,[EMPTY],[EMPTY],[662B] opencode github,[443B] manage GitHub agent,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
pr,pr --help,0,0,[EMPTY],[EMPTY],[708B] opencode pr <number>,"[442B] fetch and checkout a GitHub PR branch, then run opencode",False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
session,session --help,0,0,[EMPTY],[EMPTY],[668B] opencode session,[423B] manage sessions,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
session,session list --help,0,0,[EMPTY],[EMPTY],[753B] opencode session list,[510B] list sessions,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
plugin,plugin --help,0,0,[EMPTY],[EMPTY],[890B] opencode plugin <module>,[535B] install plugin and update config,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
stats,stats --help,0,0,[EMPTY],[EMPTY],[1000B] opencode stats,[747B] show token usage and cost statistics,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
agent,agent --help,0,0,[EMPTY],[EMPTY],[650B] opencode agent,[433B] manage agents,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
agent,agent create --help,0,0,[EMPTY],[EMPTY],[1251B] opencode agent create,[889B] create a new agent,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
agent,agent list --help,0,0,[EMPTY],[EMPTY],[561B] opencode agent list,[364B] list all available agents,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
models,models --verbose --refresh,0,0,[8558B] opencode/big-pickle,[4620408B] opencode/big-pickle,[39B] \e[92m\e[1mModels cache refreshed\e[0m,[41B] \e[92m\e[1m Models cache refreshed \e[0m,False,OUTPUT_DIFFERENCE,captured artifact 03-cli/misc.json,Low,no
